date,race,class,distance,surface,condition,horse_number,horse_name,gear,horse_rating,horse_weight,hcp_weight,c_wt,bar,jockey,trainer,running_position,pl,time,lbw,,,,,,l100m_time_2,l100m_distance_2,off_rail_2,l100m_km_hr_2,,time_2,peak_km_hr_2,avg_km_hr_2,distance_traveled_2,margin_2,finish_3,no_3,horse_name_3,win_div_3,rating_3,c_weight_3,jockey_3,trainer_3,draw_3,running_pos_3,finish_time_3,lbw_3,h_weight_3
01/06/2018,3,C4,1100,P,GOOD,9,BIG GUARDIAN,"P, TT, EM",45,496,52,52,3,B VORSTER,J O'HARA,4-5-2002,2,1:06.48,0.3,,,BIG GUARDIAN,,,6.4,101,5,56.8,,1:06.48,67,60.3,1114,neck,2,9,BIG GUARDIAN,$39,45,52,B VORSTER,J O'HARA,3,4-5-2002,1:06.48,0.3L,496kg
01/06/2018,3,C4,1100,P,GOOD,10,BRING ME JOY,EM,45,483,52,52,10,N JUGLALL,L KHOO,2-2-2003,3,1:06.51,0.5,,,BRING ME JOY,,,6.57,101,3.2,55.3,,1:06.51,68.1,60.4,1115,head,3,10,BRING ME JOY,$46,45,52,N JUGLALL,L KHOO,10,2-2-2003,1:06.51,0.5L,483kg
01/06/2018,3,C4,1100,P,GOOD,12,SUCCESS COME TRUE,"BP, TT",44,543,51.5,51.5,8,A COLLETT,M WALKER,9-8-2004,4,1:06.66,1.5,,,SUCCESS COME TRUE,,,6.31,101,8.7,57.5,,1:06.66,67.4,60.4,1118,1,4,12,SUCCESS COME TRUE,$96,44,51.5,MS A COLLETT,M WALKER,8,9-8-2004,1:06.66,1.5L,543kg
01/06/2018,3,C4,1100,P,GOOD,8,AMISTAD,,47,457,53,51,9,APP S SHAFRIZAL,M CLEMENTS,7-11-2005,5,1:06.75,2,,,AMISTAD,,,6.31,101,11.6,57.5,,1:06.75,66.3,60.6,1123,1/2,5,8,AMISTAD,$114,47,51,S SHAFRIZAL,M CLEMENTS,9,7-11-2005,1:06.75,2L,457kg
01/06/2018,3,C4,1100,P,GOOD,1,SILVER WIN FORTUNE,,55,499,57,57,11,I SAIFUDIN,D MEAGHER,10-9-2006,6,1:06.76,2.1,,,SILVER WIN FORTUNE,,,6.37,101,2.6,57,,1:06.76,65.6,59.9,1111,short head,6,1,SILVER WIN FORTUNE,$173,55,57,I SAIFUDIN,D MEAGHER,11,10-9-2006,1:06.76,2.15L,499kg
01/06/2018,3,C4,1100,P,GOOD,6,MIRACLE WEI WEI,,49,463,54,53,1,APP MM FIRDAUS,M YUSOF,3-3-2007,7,1:06.79,2.3,,,MIRACLE WEI WEI,,,6.55,101,4.7,55.5,,1:06.79,68.2,59.7,1109,head,7,6,MIRACLE WEI WEI,$323,49,53,MM FIRDAUS,M YUSOF,1,3-3-2007,1:06.79,2.35L,463kg
01/06/2018,3,C4,1100,P,GOOD,13,LUCKY SIX,B,56,528,57.5,56.5,2,APP T SEE,L DRAGON,6-6-2008,8,1:06.79,2.4,,,LUCKY SIX,,,6.46,101,5.8,56.2,,1:06.79,66.4,59.8,1110,nose,8,13,LUCKY SIX,$23,56,56.5,T SEE,MS L DRAGON,2,6-6-2008,1:06.79,2.45L,528kg
01/06/2018,3,C4,1100,P,GOOD,4,FRAGRANCE EMPIRE,,51,530,55,55,7,R WOODWORTH,D KOK,1-1-2009,9,1:06.91,3.2,,,FRAGRANCE EMPIRE,,,6.83,101,2.2,53.2,,1:06.91,67.4,59.7,1110,3/4,9,4,FRAGRANCE EMPIRE,$48,51,55,R WOODWORTH,D KOK,7,1-1-2009,1:06.91,3.2L,530kg
01/06/2018,3,C4,1100,P,GOOD,5,RICH FORTUNE,"WK, TT",51,555,55,53,4,APP I AMIRUL,HW TAN,11-10-2010,10,1:06.92,3.3,,,RICH FORTUNE,,,6.46,101,8.9,56.2,,1:06.92,66.2,60.0,1116,short head,10,5,RICH FORTUNE,$152,51,53,I AMIRUL,HW TAN,4,11-10-2010,1:06.92,3.35L,555kg
01/06/2018,3,C4,1100,P,GOOD,3,AUSPICIOUS ACE,B,51,493,55,52,5,APP CK NG,CT KUAH,5-4-2011,11,1:07.29,5.6,,,AUSPICIOUS ACE,,,6.78,100,7.7,53.1,,1:07.29,66.7,60.0,1120,2 1/4,11,3,AUSPICIOUS ACE,$22,51,52,CK NG,CT KUAH,5,5-4-2011,1:07.29,5.6L,493kg
01/06/2018,4,M,1400,T,GOOD,6,ABSOLVIDO,,0,500,58,58,10,G BOSS,S BURRIDGE,12-11-2001,1,1:23.83,0,,,ABSOLVIDO,,,6,100,4.2,60,,1:23.83,66.3,60.9,1416,-,1,6,ABSOLVIDO,$18,--,58,G BOSS,S BURRIDGE,10,12-11-2001,1:23.83,--,500kg
01/06/2018,4,M,1400,T,GOOD,7,SUN ELIZABETH,EM,55,462,56.5,55.5,9,M ZAKI,H TAKAOKA,4-4-2002,2,1:24.14,1.8,,,SUN ELIZABETH,,,6.29,100,2.4,57.2,,1:24.14,66.4,60.5,1413,1 3/4,2,7,SUN ELIZABETH,$36,55,55.5,M ZAKI,H TAKAOKA,9,4-4-2002,1:24.14,1.75L,462kg
01/06/2018,4,M,1400,T,GOOD,9,BALL AND CHAIN,,45,467,56.5,56.5,12,O PLACAIS,DL FREEDMAN,6-6-2003,3,1:24.28,2.8,,,BALL AND CHAIN,,,6.23,101,7.5,58.3,,1:24.28,66.3,60.8,1422,1,3,9,BALL AND CHAIN,$264,45,56.5,O PLACAIS,DL FREEDMAN,12,6-6-2003,1:24.28,2.75L,467kg
01/06/2018,4,M,1400,T,GOOD,10,ALWRICH,TT,0,464,56.5,56.5,1,N JUGLALL,L KHOO,5-5-2004,4,1:24.37,3.3,,,ALWRICH,,,6.37,101,6,57,,1:24.37,66.7,60.5,1417,1/2,4,10,ALWRICH,$61,--,56.5,N JUGLALL,L KHOO,1,5-5-2004,1:24.37,3.25L,464kg
01/06/2018,4,M,1400,T,GOOD,4,DRAGONITE,,47,536,58,57,5,APP T SEE,HW TAN,10-8-2005,5,1:24.37,3.4,,,DRAGONITE,,,6.29,100,4.3,57.2,,1:24.37,65.7,60.5,1416,nose,5,4,DRAGONITE,$82,47,57,T SEE,HW TAN,5,10-8-2005,1:24.37,3.35L,536kg
